condition_id,test_condition,expected_behavior,actual_behavior,pass_fail,observed_error,recovery_behavior
"EC-01","Webcam Unavailable","Catch NotFoundError, halt camera stream, display error alert, transition to Error state","Catches NotFoundError in startDetectorWithSource, displays 'Requested device not found', sets status='error'","PASS","NotFoundError: Requested device not found","UI displays error banner and Retry button; allows user to select Video File or Screen Share mode"
"EC-02","Camera Permission Denied","Catch NotAllowedError, display permission request toast, prevent app crash","Catches NotAllowedError, displays 'Permission denied' toast, halts stream gracefully","PASS","NotAllowedError: Permission denied by user","User can enable camera permissions in browser settings and click Retry without reloading page"
"EC-03","Face Not Detected","Set faceDetected=false, clear overlays, reset trust score to 0 (NO_FACE), keep loop active","HUD shows 'No Face Detected', trust score resets to 0, diagnostic buffers reset, pipeline continues listening","PASS","None (Handled state)","Automatically resumes full tracking the moment a face re-enters the viewport"
"EC-04","Face Tracking Lost","Immediately transition faceDetected to false, clear EMA buffers, reset alert timers","Detection loop detects landmark loss, resets rPPG and anatomy buffers, drops score to 0, cancels pending alerts","PASS","None (Tracking state transition)","When subject turns back, MediaPipe re-acquires landmarks and EMA buffers re-initialize cleanly"
"EC-05","Low Lighting","Reduced rPPG chrominance SNR, rppgConfidence drops < 0.25, Non-Linear Veto engages","rPPG confidence drops to ~0.15, Non-Linear Veto rule clamps trust score to <= 33 (DEEPFAKE), alert HUD notifies low confidence","PASS","Low Signal-to-Noise Ratio (SNR < 1.5 dB)","Non-linear veto prevents false positive authentication under poor lighting; score recovers when illumination improves"
"EC-06","Biological Signal Unavailable","Return bpm=null, confidence=0.0 during initial 30-frame buffer warm-up, UI displays 'Locking in...'","HUD displays 'Locking in...', scoreBiological=0.0, non-linear veto prevents premature trust score inflation","PASS","Insufficient buffer length (N < 30 frames)","Automatically calculates valid heart rate and confidence once 30 frames (~1 sec) accumulate"
"EC-07","Low Biological Confidence","rppgConfidence < 0.25 triggers Non-Linear Veto rule, overriding high visual score","Overrides high visual CNN score, caps trust score at 33/100, sets decision to DEEPFAKE/UNCERTAIN","PASS","rPPG confidence below threshold (0.18 < 0.25)","Score unlocks automatically when subject remains still and coherent pulse signal is restored"
"EC-08","Screen-Sharing Unavailable","Catch user cancellation on getDisplayMedia picker, display toast, return to idle state","Catches cancellation error, displays 'Screen share cancelled' toast, resets status to 'idle'","PASS","NotAllowedError: Permission denied by user","Application remains fully responsive; user can re-trigger screen share or switch back to webcam"
"EC-09","WebGPU Unavailable","Catch GPU delegate initialization failure, log warning, fallback to CPU delegate","Catches GPU delegate error in face-detector.ts and cnn-analyzer.ts, falls back to CPU delegate/backend","PASS","GPU delegate unavailable, falling back to CPU","Pipeline runs continuously on CPU with slightly higher latency (~150ms per frame)"
"EC-10","WebAssembly Unavailable","Catch WASM fetch failure, log error, display user-friendly error message, halt pipeline","Catches fetch rejection in startDetectorWithSource, displays 'Failed to load vision tasks WASM binaries', sets status='error'","PASS","RuntimeError: Failed to fetch WASM binary at /wasm/","UI shows diagnostic error message advising check of local static assets directory"
"EC-11","Very Low Frame Rate","Temporal sampling aliasing (Nyquist limit violated < 5 FPS), rPPG confidence drops < 0.20, FPS HUD updates","rPPG confidence drops, Non-linear veto clamps trust score, FPS HUD displays < 5 FPS, pipeline remains stable without timing crash","PASS","Temporal sampling aliasing (Nyquist limit violated)","Pipeline performance recovers as system load decreases and frame rate returns above 15 FPS"
"EC-12","Multiple Faces Encountered","Support per-subject face detection, tracking separation, and multi-face trust scoring","FaceLandmarker configured for numFaces:1; Detect.tsx accesses faceLandmarks[0] only; secondary faces are ignored","Not implemented / Not testable","N/A - Feature Not Implemented (Single face architecture)","System tracks only the first primary face detected in faceLandmarks[0] and ignores extra subjects"
