frame_id,visual_inference_ms,rppg_processing_ms,auxiliary_layers_ms,fusion_time_ms,total_latency_ms,inst_fps
1,122.85,9.85,19.39,0.95,153.05,6.53
2,117.45,11.64,19.90,1.03,150.03,6.67
3,124.14,11.78,21.21,1.42,158.55,6.31
4,131.58,10.96,21.13,1.38,165.05,6.06
5,116.64,12.11,15.06,1.19,145.00,6.90
6,116.64,13.13,16.16,1.24,147.16,6.80
7,132.05,15.80,19.79,1.58,169.22,5.91
8,125.15,12.71,19.78,1.02,158.67,6.30
9,114.64,12.86,19.79,1.36,148.65,6.73
10,123.24,12.27,28.13,1.14,164.78,6.07
11,114.69,8.95,19.93,1.13,144.70,6.91
12,114.67,12.35,21.34,1.53,149.89,6.67
13,120.69,12.51,20.89,1.45,155.53,6.43
14,102.37,16.83,20.13,1.44,140.77,7.10
15,103.97,12.05,17.71,1.59,135.33,7.39
16,113.85,12.94,20.40,1.21,148.40,6.74
17,110.02,12.34,16.57,1.40,140.33,7.13
18,121.30,10.30,17.91,1.11,150.61,6.64
19,110.91,14.46,17.29,1.30,143.95,6.95
20,106.63,13.75,18.70,1.16,140.24,7.13
21,131.09,13.82,24.29,1.23,170.43,5.87
22,116.71,10.76,13.83,1.38,142.68,7.01
23,119.20,14.93,20.22,0.95,155.30,6.44
24,106.52,9.88,14.47,1.83,132.69,7.54
25,114.00,13.46,17.32,0.90,145.68,6.86
26,119.57,16.34,21.22,0.84,157.97,6.33
27,108.85,10.62,18.66,1.55,139.67,7.16
28,121.82,11.38,15.81,1.44,150.45,6.65
29,113.52,12.58,16.71,1.39,144.20,6.93
30,116.15,11.49,20.20,1.39,149.23,6.70
31,113.52,9.61,16.67,1.20,140.99,7.09
32,134.37,12.52,19.04,0.93,166.87,5.99
33,118.52,10.49,18.61,1.22,148.84,6.72
34,109.64,13.25,16.87,1.00,140.76,7.10
35,125.62,10.75,23.86,1.49,161.72,6.18
36,108.25,15.19,20.08,1.16,144.68,6.91
37,120.41,10.99,13.44,0.95,145.78,6.86
38,101.97,11.82,18.97,1.10,133.86,7.47
39,107.34,13.86,16.85,1.32,139.37,7.17
40,120.30,10.18,20.63,1.03,152.15,6.57
41,124.91,12.81,16.52,0.95,155.19,6.44
42,120.09,14.75,18.21,1.27,154.33,6.48
43,117.65,9.51,19.76,1.27,148.19,6.75
44,116.07,12.73,20.66,1.05,150.52,6.64
45,106.06,12.87,15.50,1.06,135.49,7.38
46,112.51,13.81,17.66,1.27,145.25,6.88
47,114.71,10.17,17.31,0.77,142.97,6.99
48,127.62,10.02,16.87,0.78,155.28,6.44
49,121.55,13.34,22.91,0.98,158.79,6.30
50,103.64,12.93,19.51,1.14,137.23,7.29
51,121.38,12.85,15.35,1.29,150.88,6.63
52,115.36,13.02,20.79,1.64,150.82,6.63
53,112.88,11.18,23.81,1.46,149.31,6.70
54,123.83,12.82,21.08,1.15,158.88,6.29
55,127.39,12.93,14.70,1.19,156.22,6.40
56,126.55,11.11,17.29,0.90,155.85,6.42
57,111.50,15.76,21.67,1.19,150.12,6.66
58,116.00,13.25,16.73,1.11,147.10,6.80
59,121.45,10.26,19.61,1.30,152.61,6.55
60,126.92,13.58,20.44,0.95,161.89,6.18
61,114.56,10.65,16.18,1.36,142.74,7.01
62,117.05,13.82,18.35,1.66,150.88,6.63
63,109.23,14.49,12.00,1.17,136.88,7.31
64,108.46,10.92,15.94,1.32,136.64,7.32
65,125.54,14.13,17.87,1.41,158.95,6.29
66,130.16,13.14,15.38,1.08,159.76,6.26
67,118.02,13.88,22.58,1.27,155.75,6.42
68,127.16,15.81,14.92,1.20,159.10,6.29
69,121.70,11.96,17.40,1.23,152.29,6.57
70,113.15,11.04,18.83,0.97,143.98,6.95
71,121.70,10.80,22.10,1.21,155.81,6.42
72,131.70,10.93,14.91,1.35,158.89,6.29
73,118.33,12.26,21.41,1.64,153.63,6.51
74,131.93,13.01,18.53,1.49,164.96,6.06
75,96.36,12.90,16.05,1.85,127.15,7.86
76,125.62,13.89,19.66,0.97,160.13,6.24
77,119.37,12.42,19.00,1.46,152.25,6.57
78,116.09,15.02,17.00,1.26,149.36,6.70
79,119.41,11.92,18.67,1.86,151.87,6.58
80,101.74,17.30,17.54,0.96,137.53,7.27
81,116.76,13.53,18.78,0.95,150.02,6.67
82,121.67,10.86,20.16,1.02,153.70,6.51
83,131.19,10.47,22.47,0.56,164.69,6.07
84,114.22,13.27,15.41,1.04,143.94,6.95
85,111.76,12.00,23.83,0.97,148.56,6.73
86,114.37,13.69,13.62,1.25,142.92,7.00
87,126.41,13.25,18.12,1.30,159.09,6.29
88,121.42,12.27,19.97,1.76,155.43,6.43
89,114.13,10.88,19.20,1.49,145.69,6.86
90,122.99,9.67,16.94,1.03,150.64,6.64
91,119.46,11.60,17.98,0.93,149.96,6.67
92,126.86,13.94,17.27,1.35,159.42,6.27
93,112.66,12.79,17.03,0.80,143.28,6.98
94,115.84,10.16,20.62,1.75,148.38,6.74
95,115.30,12.71,19.39,1.55,148.96,6.71
96,106.19,13.09,16.77,1.06,137.11,7.29
97,121.15,10.81,20.75,0.69,153.39,6.52
98,120.85,12.68,19.27,1.61,154.40,6.48
99,118.67,12.50,20.53,1.17,152.88,6.54
100,116.64,10.34,20.07,1.57,148.62,6.73
